,Unnamed: 0,movieId,title,budget,revenue,runtime,release_date,vote_average_tmdb,vote_count_tmdb,mean_rating,num_votes,std_rating,all_tags,release_year,super_genre
0,0,1,Toy Story (1995),30000000.0,401157969.0,81.0,1995-11-22,7.971,19514.0,3.92093023255814,215.0,0.8348591407114044,pixar pixar fun,1995.0,1.0
1,1,2,Jumanji (1995),65000000.0,262821940.0,104.0,1995-12-15,7.244,11078.0,3.4318181818181817,110.0,0.8817134921476453,fantasy magic board game Robin Williams game,1995.0,1.0
2,2,3,Grumpier Old Men (1995),25000000.0,71500000.0,101.0,1995-12-22,6.482,415.0,3.2596153846153846,52.0,1.0548226531330254,moldy old,1995.0,1.0
3,3,4,Waiting to Exhale (1995),16000000.0,81452156.0,123.0,1995-12-22,6.234,190.0,2.357142857142857,7.0,0.8521681032463467,,1995.0,1.0
4,4,5,Father of the Bride Part II (1995),0.0,76594107.0,106.0,1995-12-08,6.3,788.0,3.071428571428572,49.0,0.9071475440448852,pregnancy remake,1995.0,1.0
5,5,6,Heat (1995),60000000.0,187400000.0,170.0,1995-12-15,7.927,8057.0,3.946078431372549,102.0,0.8172244221533347,,1995.0,3.0
6,6,7,Sabrina (1995),58000000.0,53672080.0,127.0,1995-12-15,6.212,667.0,3.185185185185185,54.0,0.9775609631923282,remake,1995.0,1.0
7,7,8,Tom and Huck (1995),0.0,23920048.0,97.0,1995-12-22,5.263,205.0,2.875,8.0,1.1259916264596033,,1995.0,1.0
8,8,9,Sudden Death (1995),35000000.0,64350171.0,110.0,1995-10-27,6.015,783.0,3.125,16.0,0.9746794344808964,,1995.0,5.0
9,9,10,GoldenEye (1995),60000000.0,352194034.0,130.0,1995-11-16,6.898,4208.0,3.496212121212121,132.0,0.8593806844280277,,1995.0,1.0
10,10,11,"American President, The (1995)",62000000.0,107879496.0,115.0,1995-11-17,6.531,763.0,3.6714285714285713,70.0,0.9004254802862112,politics president,1995.0,1.0
11,11,12,Dracula: Dead and Loving It (1995),30000000.0,10772144.0,88.0,1995-12-22,6.066,1076.0,2.421052631578948,19.0,1.25014619028177,,1995.0,1.0
12,12,13,Balto (1995),31000000.0,11348324.0,74.0,1995-12-22,7.303,2135.0,3.125,8.0,0.6408699444616557,,1995.0,1.0
13,13,14,Nixon (1995),44000000.0,13681765.0,212.0,1995-12-22,6.861,388.0,3.8333333333333335,18.0,0.7071067811865476,politics president,1995.0,4.0
14,14,15,Cutthroat Island (1995),102000000.0,16000000.0,123.0,1995-12-22,5.8,601.0,3.0,13.0,1.20761472884912,,1995.0,1.0
15,15,16,Casino (1995),50000000.0,116112375.0,178.0,1995-11-22,8.0,6357.0,3.926829268292683,82.0,0.8858348619181693,Mafia,1995.0,4.0
16,16,17,Sense and Sensibility (1995),16000000.0,134582776.0,136.0,1995-12-13,7.424,1804.0,3.776119402985074,67.0,1.1457549518851469,Jane Austen,1995.0,4.0
17,17,18,Four Rooms (1995),4000000.0,4257354.0,98.0,1995-12-09,5.885,2792.0,3.7,20.0,0.9090191359227175,,1995.0,1.0
18,18,19,Ace Ventura: When Nature Calls (1995),30000000.0,212385533.0,91.0,1995-11-10,6.321,4428.0,2.727272727272727,88.0,1.0637957708161232,,1995.0,1.0
19,19,20,Money Train (1995),68000000.0,77224232.0,110.0,1995-11-21,5.845,833.0,2.5,15.0,0.9819805060619656,,1995.0,4.0
20,20,21,Get Shorty (1995),30250000.0,115101622.0,105.0,1995-10-20,6.499,1176.0,3.49438202247191,89.0,0.8676456585288979,Hollywood,1995.0,1.0
21,21,22,Copycat (1995),20000000.0,32000000.0,124.0,1995-10-27,6.465,1205.0,3.2222222222222223,36.0,0.8232726023485646,serial killer,1995.0,3.0
22,22,23,Assassins (1995),50000000.0,30303072.0,135.0,1995-10-06,6.491,1665.0,3.125,16.0,1.118033988749895,,1995.0,3.0
23,23,24,Powder (1995),9500000.0,30900000.0,112.0,1995-10-27,7.0,700.0,3.125,28.0,1.0149347725802838,,1995.0,4.0
24,24,25,Leaving Las Vegas (1995),3600000.0,49800000.0,111.0,1995-10-27,7.249,1594.0,3.625,76.0,1.1169153951844335,alcoholism,1995.0,4.0
